"","st","year","a_mean_dentist","a_mean_doctor","a_mean_nurse","a_mean_den_doc","a_mean_den_nurse"
"297","MA",2013,170290,204810,83720,0.831453542307505,2.03404204491161
"298","MA",2014,175280,209050,85770,0.83845969863669,2.04360499008977
"299","MA",2015,179390,212210,88650,0.845341878328071,2.02357586012408
"300","MA",2016,188020,211760,89060,0.887891953154515,2.11116101504604
"301","MA",2017,175580,224710,89330,0.78136264518713,1.96552110153364
"302","MA",2018,177410,218340,92140,0.81254007511221,1.92543954851313
"303","MD",2004,132400,173130,64720,0.764743256512447,2.04573547589617
"304","MD",2005,122940,165210,67330,0.744143816960232,1.82593197683054
"305","MD",2006,138820,167290,68370,0.829816486341084,2.03042270001463
"306","MD",2007,131970,157680,70480,0.836948249619482,1.87244608399546
"307","MD",2008,145060,157060,74370,0.923596077932,1.95051768186097
"308","MD",2009,144320,155330,76330,0.92911865061482,1.89073758679418
"309","MD",2010,156730,154930,76450,1.01161815013232,2.05009810333551
"310","MD",2011,150180,161430,75490,0.93031035123583,1.9894025698768
"311","MD",2012,156250,173260,71090,0.90182384855131,2.19791813194542
"312","MD",2013,151640,185140,71100,0.819055849627309,2.13277074542897
"313","MD",2014,159830,171480,72210,0.932062048052251,2.21340534552001
"314","MD",2015,158310,179410,73200,0.882392285825762,2.16270491803279
"315","MD",2016,165140,184130,74710,0.896866344430565,2.21041359925044
"316","MD",2017,154010,209420,75250,0.735412090535765,2.04664451827243
"317","MD",2018,151950,199300,76820,0.762418464626192,1.97800052069773
"318","ME",2004,118140,121750,50940,0.970349075975359,2.31919905771496
"319","ME",2005,182840,132890,52840,1.37587478365566,3.46025738077214
"320","ME",2006,171440,137730,55060,1.24475422928919,3.11369415183436
"321","ME",2007,167400,144270,58010,1.16032439176544,2.88570936045509
"322","ME",2008,180690,151500,59520,1.19267326732673,3.03578629032258
"323","ME",2009,205960,143990,65240,1.43037710952149,3.15695892090742
"324","ME",2010,205050,153330,64650,1.33731168068871,3.17169373549884
"325","ME",2011,208060,168870,66100,1.23207200805353,3.14765506807867
"326","ME",2012,195800,179780,60700,1.08910891089109,3.22570016474465
"327","ME",2013,194990,174880,62640,1.11499313815188,3.11286717752235
"328","ME",2014,203890,169550,63320,1.20253612503686,3.21999368288061
"329","ME",2015,185290,177790,64310,1.04218459980876,2.88120043539107
"330","ME",2016,191200,191910,63800,0.996300349121984,2.99686520376176
"331","ME",2017,179920,198210,65890,0.907724130972201,2.73061162543633
"332","ME",2018,203920,202440,67610,1.00731080814068,3.01612187546221
"333","MI",2004,157660,115650,54320,1.36325118893212,2.90243004418262
"334","MI",2005,141240,139550,57190,1.01211035471157,2.46966252841406
"335","MI",2006,162580,152530,59700,1.06588867763719,2.72328308207705
"336","MI",2007,155920,154850,61030,1.00690991281886,2.55480911027364
"337","MI",2008,162930,169760,63100,0.959766729500471,2.58209191759112
"338","MI",2009,157810,178160,64100,0.885776829815896,2.4619344773791
"339","MI",2010,152890,186290,63970,0.82070964625047,2.39002657495701
"340","MI",2011,162200,178580,65430,0.908276402732669,2.47898517499618
"341","MI",2012,160720,182080,64430,0.882688927943761,2.4944901443427
"342","MI",2013,166070,187190,65820,0.887173460120733,2.52309328471589
"343","MI",2014,161040,181590,67180,0.886832975384107,2.39714200654957
"344","MI",2015,169080,174360,67690,0.969717825189264,2.49785788151869
"345","MI",2016,172270,174980,69100,0.984512515716082,2.49305354558611
